Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.37      1.35     0.01                             std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > std::operator+<char, std::char_traits<char>, std::allocator<char> >(char const*, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
  0.00      1.35     0.00  2307285     0.00     0.00  ns3::RdmaQueuePair* ns3::PeekPointer<ns3::RdmaQueuePair>(ns3::Ptr<ns3::RdmaQueuePair> const&)
  0.00      1.35     0.00  2307285     0.00     0.00  ns3::Ptr<ns3::RdmaQueuePair>::Acquire() const
  0.00      1.35     0.00  1027765     0.00     0.00  bool ns3::operator< <ns3::Node>(ns3::Ptr<ns3::Node> const&, ns3::Ptr<ns3::Node> const&)
  0.00      1.35     0.00  1027765     0.00     0.00  std::less<ns3::Ptr<ns3::Node> >::operator()(ns3::Ptr<ns3::Node> const&, ns3::Ptr<ns3::Node> const&) const
  0.00      1.35     0.00   784488     0.00     0.00  ns3::Ptr<ns3::QbbNetDevice>::Acquire() const
  0.00      1.35     0.00   710607     0.00     0.00  ns3::SimpleRefCount<ns3::AttributeChecker, ns3::empty, ns3::DefaultDeleter<ns3::AttributeChecker> >::Unref() const
  0.00      1.35     0.00   459660     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      1.35     0.00   459660     0.00     0.00  std::iterator_traits<char const*>::difference_type std::__distance<char const*>(char const*, char const*, std::random_access_iterator_tag)
  0.00      1.35     0.00   459660     0.00     0.00  std::iterator_traits<char const*>::iterator_category std::__iterator_category<char const*>(char const* const&)
  0.00      1.35     0.00   459660     0.00     0.00  std::iterator_traits<char const*>::difference_type std::distance<char const*>(char const*, char const*)
  0.00      1.35     0.00   454051     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      1.35     0.00   454035     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      1.35     0.00   450006     0.00     0.00  ns3::Ptr<ns3::Node>::Acquire() const
  0.00      1.35     0.00   438226     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> >::_M_ptr() const
  0.00      1.35     0.00   438226     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> >::_M_addr() const
  0.00      1.35     0.00   438226     0.00     0.00  std::_Select1st<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> >::operator()(std::pair<ns3::Ptr<ns3::Node> const, unsigned long> const&) const
  0.00      1.35     0.00   438226     0.00     0.00  std::_Rb_tree_node<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> >::_M_valptr() const
  0.00      1.35     0.00   438226     0.00     0.00  std::_Rb_tree<ns3::Ptr<ns3::Node>, std::pair<ns3::Ptr<ns3::Node> const, unsigned long>, std::_Select1st<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> >, std::less<ns3::Ptr<ns3::Node> >, std::allocator<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > >::_S_key(std::_Rb_tree_node<std::pair<ns3::Ptr<ns3::Node> const, unsigned long> > const*)
  0.00      1.35     0.00   376247     0.00     0.00  bool std::operator< <int, int>(std::pair<int, int> const&, std::pair<int, int> const&)
  0.00      1.35     0.00   365098     0.00     0.00  std::remove_reference<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>::type&& std::move<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&)
